Account_Campaign_Mapping_V2

Date/Time Generated,10/1/18 3:59 AM
Report Time Zone,America/New_York
Account ID,5552
Date Range,9/17/18 - 9/30/18
Advertiser,Equals:2014_DigitalRoyalty (4365914)
Advertiser,Equals:ALL|US|iProspect|2012 (3632474)
Advertiser,Equals:BidManager_Advertiser_DO_NOT_EDIT_1454338 (6359301)
Advertiser,Equals:BidManager_Advertiser_DO_NOT_EDIT_2235440 (8304258)
Advertiser,Equals:BidManager_Advertiser_DO_NOT_EDIT_688442 (5236351)
Advertiser,Equals:BidManager_Advertiser_DO_NOT_EDIT_857434 (5404806)
Advertiser,Equals:BidManager_SeparateSpotlightAdvertiser_DO_NOT_EDIT (4532011)
Advertiser,Equals:CI|US|iProspect|2012 (3476205)
Advertiser,Equals:DCS|Criteo|_INTL_ (4765209)
Advertiser,Equals:5373955
Advertiser,Equals:DCS|Demand_Generation|_INTL_ (4255681)
Advertiser,Equals:DCS|F3D|_INTL_ (4867019)
Advertiser,Equals:DCS|iProspect|_INTL_ (4248444)
Advertiser,Equals:DCS|OMD|_INTL_ (4294851)
Advertiser,Equals:DCS|Periscopix_Tracking_Ads|_INTL_ (8110681)
Advertiser,Equals:DCS|Periscopix|_INTL_ (6146229)
Advertiser,Equals:DCS|Rakuten_Non-linked_Advertiser|_INTL_ (8066286)
Advertiser,Equals:DCS|Zenith|_INTL_ (8502683)
Advertiser,Equals:dg_intl_hilton (3498746)
Advertiser,Equals:dg_intl_multibrand (3638295)
Advertiser,Equals:DGTS_US_AllSuites (8325024)
Advertiser,Equals:DGTS_US_FocusedServices (8325606)
Advertiser,Equals:DGTS_US_FullService (8328012)
Advertiser,Equals:8314394
Advertiser,Equals:DGTS_US_Portfolio_Honors (8310967)
Advertiser,Equals:DT|US|iProspect|2012 (3476213)
Advertiser,Equals:E-Events 30 Day Tags (2391905)
Advertiser,Equals:Ecommerce_Corporate_US (2608519)
Advertiser,Equals:eDistribution Marketing_In House_UK (2055539)
Advertiser,Equals:ES|US|iProspect|2012 (3476215)
Advertiser,Equals:f3d_intl_paid_search (3917774)
Advertiser,Equals:GI|US|iProspect|2012 (3476218)
Advertiser,Equals:GV|US|iProspect|2012 (3476224)
Advertiser,Equals:Hampton Inn : iCrossing US : US (2377205)
Advertiser,Equals:Hampton_Wahlstrom_US (2208460)
Advertiser,Equals:HHC Hotels_Waldorf Boulders Resort_US_0328 (2221810)
Advertiser,Equals:HH|US|iProspect|2012 (3476226)
Advertiser,Equals:Hilton Demand Generation Intl (2712515)
Advertiser,Equals:Hilton HHonors : iCrossing US : US (2377325)
Advertiser,Equals:2784036
Advertiser,Equals:HILTON HOTELS CORP (2013561)
Advertiser,Equals:Hilton Paid Search on DS (Edge) (6972294)
Advertiser,Equals:Hilton Paid Search on DS (Non-Edge) (6973298)
Advertiser,Equals:Hilton_OMD_APAC (2705521)
Advertiser,Equals:Hilton_OMD_US (2077542)
Advertiser,Equals:Hilton_Space Dealer_Germany (2070859)
Advertiser,Equals:2162324
Advertiser,Equals:Hilton_Traffic Broker UK_RU (2341749)
Advertiser,Equals:HI|US|iProspect|2012 (3476209)
Advertiser,Equals:HT|US|iProspect|2012 (3476223)
Advertiser,Equals:HWW_Corporate_EmailMarketing (4652907)
Advertiser,Equals:HWW_SocialMedia (4721827)
Advertiser,Equals:HW|US|iProspect|2012 (3476222)
Advertiser,Equals:HX|US|iProspect|2012 (3476220)
Advertiser,Equals:OMD UAE (2832897)
Advertiser,Equals:OMD_LATAM_2016 (5308684)
Advertiser,Equals:QQ|US|iProspect|2012 (4445920)
Advertiser,Equals:seo_places_listings_intl (4041706)
Advertiser,Equals:2150307
Advertiser,Equals:WA|US|iProspect|2012 (3476203)
MRC Accredited Metrics,"Impressions(Desktop Display and Rich Media, Desktop Video, Mobile Video)","Clicks(Desktop Display, Desktop Rich Media, Desktop Video, In-App Display, In-App Rich Media, In-App Video, Mobile Display, Mobile Video)"

Report Fields
Placement ID,Placement,Campaign ID,Campaign,Site ID (DCM),Site (DCM),Impressions,Clicks
33533827,weekly_email,3451306,email_weekly_on going,727929,email_intl,0,15
34805708,328_Scottsdalecvb_specials,3487404,StrategicLinking_Ongoing_2009,744242,ScottsdaleCVB,0,29
38383285,RU - Top Level : Yandex : K3418,3733338,DART Search,731180,DART Search : Other : 12026,0,4
39669854,Hampton Inn - Brand : Google : K3606,3814077,DART Search,709529,DART Search : Google : 11973,0,3
39873490,Hilton Honors : Google : K3663,3830483,DART Search,709529,DART Search : Google : 11973,0,8
41386332,Homepage,3943193,Hilton - 2009 // Advanced Purchase Promotion,848456,Trivago.CO.UK,0,25
50676244,Hotelrooms - Site Listings,4676214,Ongoing EMEA & APAC,715224,Hotel Rooms,0,2
58264967,Hilton Family Boston cluster YP listing,5138457,Hilton Family Boston Yellow Pages listing,756331,Yellowpages.com,0,1
67254168,1x1 | affiliate network | click tracker | multiple | cpa,4676214,Ongoing EMEA & APAC,1121915,affiliatewindow.com,0,49039
76656417,Site Listings_INT_1x1_MS_Qunar_0,6276006,F3D_MS_Qunar,1040254,qunar.com,0,1
76778733,GV|Google|Kenshoo|US|EN|CPC|1x1,6202839,GV|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,2
76778788,HH|Google|Kenshoo|US|EN|CPC|1x1,6202848,HH|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,79
76779272,DT|Google|Kenshoo|US|EN|CPC|1x1,6202818,DT|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,1
76779275,ES|Google|Kenshoo|US|EN|CPC|1x1,6202826,ES|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,1
76779306,HI|Google|Kenshoo|US|EN|CPC|1x1,6202855,HI|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,20
76779452,GI|Google|Kenshoo|US|EN|CPC|1x1,6202831,GI|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,2
76779469,GI|MSN|Kenshoo|US|EN|CPC|1x1,6202831,GI|Search|Kenshoo|US|Revenue,714014,DART Search : MSN : 11973,0,0
76779475,HW|Google|Kenshoo|US|EN|CPC|1x1,6202870,HW|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,5
76779524,HT|Google|Kenshoo|US|EN|CPC|1x1,6202863,HT|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,10
76779536,HT|MSN|Kenshoo|US|EN|CPC|1x1,6202863,HT|Search|Kenshoo|US|Revenue,714014,DART Search : MSN : 11973,0,0
76779547,HX|Google|Kenshoo|US|EN|CPC|1x1,6202875,HX|Search|Kenshoo|US|Revenue,709529,DART Search : Google : 11973,0,12
76779583,HX|MSN|Kenshoo|US|EN|CPC|1x1,6202875,HX|Search|Kenshoo|US|Revenue,714014,DART Search : MSN : 11973,0,2
77739867,DT|CityGrid|Properties|US|EN|CPC|1x1|EDGE,6370270,DT|Search|Additional|US|Revenue,1157675,City Grid Media (Parent),0,8
79147909,WA|TripAdvisor|BL-HotelWebsite|US|EN|CPC|MSYRHWA|EDGE,6470346,WA|BusinessListings|TripAdvisor|US|Revenue,896433,Tripadvisor,0,119
79160987,BOSSB - Facebook (Baseball),5870465,DT Boston,889399,Facebook.com,0,2
81419062,WA|TripAdvisor|BL-HotelWebsite|US|EN|CPC|CHIWAWA|EDGE,6470346,WA|BusinessListings|TripAdvisor|US|Revenue,896433,Tripadvisor,0,1
83198499,DT|TripAdvisor|BL-SpecialOffer|US|EN|CPC|LGASFDT|EDGE,6470264,DT|BusinessListings|TripAdvisor|US|Revenue,896433,Tripadvisor,0,11
83198743,DT|TripAdvisor|BL-SpecialOffer|US|EN|CPC|NYCDTDT|EDGE,6470264,DT|BusinessListings|TripAdvisor|US|Revenue,896433,Tripadvisor,0,19
83198891,GI|TripAdvisor|BL-SpecialOffer|US|EN|CPC|NYCMWGI|EDGE,6470284,GI|BusinessListings|TripAdvisor|US|Revenue,896433,Tripadvisor,0,17
